regime,reader,coverage,kappa,contamination,seed_rep,observer,creator_mi,oracle_mi,mi_ratio,ghost_col_err,frac_corpus_labelled
symmetric,naive,0.1,0.9,0.6,2,3,0.9235862211864303,1.0887088433787815,0.8483316974996757,1.8233356362926276,0.08
symmetric,naive,0.1,0.9,0.6,2,4,0.9428157706019791,1.0887088433787815,0.8659944082717039,2.0663349327243132,0.08
symmetric,naive,0.1,0.9,0.6,2,5,0.8824047492369854,1.0887088433787815,0.8105057239164731,1.5295024137573796,0.08
symmetric,naive,0.2,0.9,0.6,0,0,0.7358855316830514,1.0887088433787815,0.6759250061745145,1.4082564061171665,0.2325
symmetric,naive,0.2,0.9,0.6,0,1,0.6258346514585927,1.0887088433787815,0.5748411572705978,1.4924765500208053,0.2325
symmetric,naive,0.2,0.9,0.6,0,2,0.7179007575559606,1.0887088433787815,0.6594056454322287,1.4162189507224838,0.2325
symmetric,naive,0.2,0.9,0.6,0,3,0.7265165387873201,1.0887088433787815,0.6673194061073241,1.4476289300761862,0.2325
symmetric,naive,0.2,0.9,0.6,0,4,0.6466613039577755,1.0887088433787815,0.5939708379247457,1.335885469034046,0.2325
symmetric,naive,0.2,0.9,0.6,0,5,0.6488774311838695,1.0887088433787815,0.5960063933807079,1.5298513794215487,0.2325
symmetric,naive,0.2,0.9,0.6,1,0,0.8142774851220487,1.0887088433787815,0.7479295222724179,1.436312181804393,0.2025
symmetric,naive,0.2,0.9,0.6,1,1,0.8409244081651314,1.0887088433787815,0.7724052332994218,1.684127246894464,0.2025
symmetric,naive,0.2,0.9,0.6,1,2,0.8580979691325319,1.0887088433787815,0.7881794791612472,1.5390693729154308,0.2025
symmetric,naive,0.2,0.9,0.6,1,3,0.8478393301150378,1.0887088433787815,0.7787567220302803,1.3418935147008353,0.2025
symmetric,naive,0.2,0.9,0.6,1,4,0.7568073285541781,1.0887088433787815,0.695142078763175,1.299240307938625,0.2025
symmetric,naive,0.2,0.9,0.6,1,5,0.9527303664246998,1.0887088433787815,0.8751011551150114,2.359044167453835,0.2025
symmetric,naive,0.2,0.9,0.6,2,0,0.8673222577483048,1.0887088433787815,0.7966521655657643,1.49916536155753,0.22
symmetric,naive,0.2,0.9,0.6,2,1,0.912969257596834,1.0887088433787815,0.8385798123614538,1.5406942491269442,0.22
symmetric,naive,0.2,0.9,0.6,2,2,0.8350124992810861,1.0887088433787815,0.7669750313496537,1.3513138969482403,0.22
symmetric,naive,0.2,0.9,0.6,2,3,0.7164294067627619,1.0887088433787815,0.658054181446107,1.5259834238175842,0.22
symmetric,naive,0.2,0.9,0.6,2,4,0.8482852050656419,1.0887088433787815,0.7791662667430984,1.5895993614180153,0.22
symmetric,naive,0.2,0.9,0.6,2,5,1.0121528312867152,1.0887088433787815,0.9296818313200464,1.5188760402732593,0.22
symmetric,naive,0.3,0.9,0.6,0,0,0.8082806030344842,1.0887088433787815,0.7424212708018473,1.5015370739172058,0.3225
symmetric,naive,0.3,0.9,0.6,0,1,0.8379088472780507,1.0887088433787815,0.7696353826589861,1.360166158936828,0.3225
symmetric,naive,0.3,0.9,0.6,0,2,0.8590233956458537,1.0887088433787815,0.7890295012024477,1.4965795624232314,0.3225
symmetric,naive,0.3,0.9,0.6,0,3,0.8310898833207864,1.0887088433787815,0.763372033188891,1.5405215378428816,0.3225
symmetric,naive,0.3,0.9,0.6,0,4,0.8593368110065074,1.0887088433787815,0.7893173792357343,1.5010281123854976,0.3225
symmetric,naive,0.3,0.9,0.6,0,5,0.7086276455932803,1.0887088433787815,0.650888113845086,1.8155018739624826,0.3225
symmetric,naive,0.3,0.9,0.6,1,0,0.8899964932390482,1.0887088433787815,0.8174788867122321,0.3985862028855001,0.34
