half,arm,contamination,seed_rep,observer,artifact_index,eff_sample_count,creator_col_kl,col_change_rate,deep_per_genuine,generation,deep_per_artifact
starvation,starvation_only,0.0,0,6,75,31.969137599934957,0.11535776746123588,0.012172714435337535,1.7066666666666668,,
starvation,starvation_only,0.0,0,6,100,42.210774100774714,0.13199740503751026,0.011271868255561715,1.69,,
starvation,starvation_only,0.0,0,6,125,54.203280947727315,0.1688544636617767,0.011255302281877332,1.736,,
starvation,starvation_only,0.0,0,6,150,63.69529640072301,0.1760449255365466,0.00832315611088881,1.7,,
starvation,starvation_only,0.0,0,6,175,73.93660500813726,0.1757051000286415,0.005472978751943472,1.6914285714285715,,
starvation,starvation_only,0.0,0,6,200,84.9276489127,0.16497344792970356,0.004524901345585533,1.7,,
starvation,starvation_only,0.0,0,6,225,95.42014688358879,0.1821097762511452,0.007206167564189046,1.6977777777777778,,
starvation,starvation_only,0.0,0,6,250,107.41272622719039,0.19780020503521525,0.006887865609187181,1.72,,
starvation,starvation_only,0.0,0,6,275,117.90500248589618,0.20302735684287015,0.0053794556267915735,1.7163636363636363,,
starvation,starvation_only,0.0,0,6,300,128.14733197294154,0.2074201531094085,0.003798813993779765,1.71,,
starvation,starvation_only,0.0,0,6,325,140.14007096525907,0.21974896567103613,0.004509339353875831,1.7261538461538461,,
starvation,starvation_only,0.0,0,6,350,151.88250654102802,0.23108244201975814,0.003239611063592688,1.737142857142857,,
starvation,starvation_only,0.0,0,6,375,163.87571992898867,0.24935609372873285,0.0030210851841069074,1.7493333333333334,,
starvation,starvation_only,0.0,0,6,400,175.86706026730116,0.2509617800728016,0.0032828167961443592,1.76,,
starvation,starvation_only,0.0,0,7,25,9.237950636485538,0.14371658336484056,0.044317701972518275,1.48,,
starvation,starvation_only,0.0,0,7,50,18.978623888211622,0.16316399518436947,0.03242458472861101,1.52,,
starvation,starvation_only,0.0,0,7,75,27.452618645371043,0.1243591698467793,0.013711884626091918,1.4666666666666666,,
starvation,starvation_only,0.0,0,7,100,38.69452282666997,0.15927308319786387,0.01437864179015266,1.55,,
